Req #	Category	Request	Published Preliminary Decision	Meeting Decision
"1. This document contains excerpts from CMS' HCPCS Application Summaries document for external code applications submitted in the 2017-2018 HCPCS coding cycle. For detailed information and full text, refer to the Application Summary documents as published on the CMS' HCPCS website.
2. Applications that were not timely completed and therefore not processed have been excluded from this list."				
17.001	Drug & Biol	"Request to establish a new Level II HCPCS code to identify injection, inliximab, biosimilar, Trade Name: Inflecta.

Applicant’s suggested language: “JXXXX, Injection, Infliximab, Biosimilar, 10 mg”."	"This request to establish a new Level II HCPCS code to separately identify Inflectra (infliximab biosimilar) has not been approved. Existing code Q5102 ""Injection, infliximab, biosimilar, 10 mg"" together with existing ZB modifier ""Pfizer/Hospira"" adequately describes Inflectra (infliximab biosimilar) and are available for assignment by insurers if they deem appropriate."	"This request to establish a new Level II HCPCS code to separately identify Inflectra (infliximab biosimilar) has not been approved. Existing code Q5102 ""Injection, infliximab, biosimilar, 10 mg"" together with existing ZB modifier ""Pfizer/Hospira"" adequately describes Inflectra (infliximab biosimilar) and are available for assignment by insurers if they deem appropriate."
17.002	Drug & Biol	"1. Request to establish a new Level II HCPCS code to identify STELARA® (ustekinumab) for intravenous infusion.

Applicant’s suggested language: JXXXX: Injection, ustekinumab, 130 mg (one vial), for intravenous infusion.

2. Request to revise existing HCPCS code J3357 which currently reads:"" Injection, ustekinumab, 1 mg""  to instead read:"" Injection,ustekinumab, 1 mg , for subcutaneous injection"", to clearly distinguish its use from the code for the IV formulation.

Applicant’s suggested language: J3357 “Injection, ustekinumab, 1mg, for subcutaneous injection”, to replace the prior description, “Injection, ustekinumab, 1mg.”"	"1) Established Q9989, ""Ustekinumab, For Intravenous Injection, 1mg."" Effective 7/1/17.

2) Discontinue Q9989. Effective 12/31/17.

3) Establish new code JXXXX with same language as Q9989, ""Ustekinumab, For Intravenous Injection, 1mg."" 

New code Q9989 adequately describes STELARA."	"1) Establish Q9989, ""Ustekinumab, For Intravenous Injection, 1mg."" Effective 7/1/17.

2) Discontinue Q9989. Effective 12/31/17.

3) Establish new code J3358 with same language as Q9989, ""Ustekinumab, For Intravenous Injection, 1mg.""  

New code Q9989 adequately describes STELARA."
17.003	Drug & Biol	"Request to establish a new Level II HCPCS code to identify Nusinersen, Trade Name: (SPINRAZA™).

Applicant’s suggested language: “Injection, nusinersen for intrathecal use, SPINRAZA, 1 mg”"	"Establish Jxxxx, ""injection, nusinersen, 0.1 mg"". "	"Establish J2326, ""injection, nusinersen, 0.1 mg"". "
17.004	Drug & Biol	"Request to revise existing Level II HCPCS code J7328 which currently reads: ""Hyaluronan or derivative, gel-syn, for intra-articular injection, 0.1 mg, to reflect the products' new name: Trade Name: GELSYN-3.

Applicant's suggested language: J7328, Hyaluronan or Derivative, GELSYN-3, for intra-articular injection, 0.1 mg.
"	"Revise existing HCPCS code J7328, which currently reads, ""Hyaluronan or derivative, gel-syn, for intra-articular injection, 0.1 mg"", to instead read, ""Hyaluronan or Derivative, GELSYN-3, for intra-articular injection, 0.1 mg."" "	"Revise existing HCPCS code J7328, which currently reads, ""Hyaluronan or derivative, gel-syn, for intra-articular injection, 0.1 mg"", to instead read, ""Hyaluronan or Derivative, GELSYN-3, for intra-articular injection, 0.1 mg."""
17.005	DME	"Request to revise existing Level II HCPCS Code A4604, which currently reads, “Tubing with integrated heating element for use with Positive Airway Pressure Device”, to remove the phrase ""heating element"" and replace it with ""low condensation, high humidity PAP tubing or high performance PAP tubing.""  

 "	"This request to revise existing Level II HCPCS code A4604 ""Tubing with integrated heating element for use with positive airway pressure device"" has not been approved. The code A4604 was established to identify a heating tube. The device that is the subject of this request is not a heating tube. Existing code A7037 ""Tubing used with positive airway pressure device"" adequately describes the product that is the subject of this request and is available for assignment by insurers if they deem appropriate."	"This request to revise existing Level II HCPCS code A4604 ""Tubing with integrated heating element for use with positive airway pressure device"" has not been approved. The code A4604 was established to identify a heating tube. The device that is the subject of this request is not a heating tube. Existing code A7037 ""Tubing used with positive airway pressure device"" adequately describes the product that is the subject of this request and is available for assignment by insurers if they deem appropriate. "
17.006	DME	"Request to establish a new Level II HCPCS code to identify a mandibular repositioning device, Trade Name: Narval CC.

Applicant’s suggested language: EXXXX “Oral device/appliance with non-fixed hinges used to reduce upper airway collapsibility, adjustable or non-adjustable, custom fabricated, includes fitting and adjustments”."	"A national program operating need was not identified by Medicare, Medicaid or the Private Insurance sector to establish a new Level II HCPCS code to identify the product that is the subject of this request. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."	"A national program operating need was not identified by Medicare, Medicaid or the Private Insurance sector to establish a new Level II HCPCS code to identify the product that is the subject of this request. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."
17.007	Drug & Biol	"Request to establish a new HCPCS Level II code to identify a levonorgestrel-releasing intrauterine system, 19.5 mg. Trade Name: Kyleena

Applicant's suggested language: ""JXXXX: levonorgestrel-releasing intrauterine contraceptive system (Kyleena), 19.5 mg"".

 "	"1) Establish Q9984 ""Levonorgestrel-releasing Intrauterine Contraceptive System, (Kyleena), 19.5 mg"". Effective 7/1/17.

2) Discontinue Q9984, Effective 12/31/17.

3) Establish Jxxxx, ""Levonorgestrel-releasing Intrauterine Contraceptive System, (Kyleena), 19.5 mg"". 

New code Q9984 adequately describes Kyleena."	"1)  Establish Q9984 ""Levonorgestrel-releasing Intrauterine Contraceptive System, (Kyleena), 19.5 mg"". 
2)  Discontinue Q9984, Effective 12/31/17.

3)  Establish J7296, ""Levonorgestrel-releasing Intrauterine Contraceptive System, (Kyleena), 19.5 mg"".  "
17.008	DME	"Request to establish a new Level II HCPCS code to identify a non-invasive neurovascular stimulation operating system, Trade Name: the Willow Curve.

Applicant’s suggested language: EXXXX ""Willow Curve, Low Level Light Therapy Device Emitting Both Red and Infrared Radiation”."	"This request to establish a new Level II HCPCS code to separately identify the Willow Curve Light Therapy device has not been approved. Existing code E0221 ""Infrared heating pad system"" adequately describes the device that is the subject of this request, and it is available for assignment by insurers if they deem appropriate. In fact, the code E0221 was established for the predicate product to the Willow Curve device."	"This request to establish a new Level II HCPCS code to separately identify the Willow Curve Light Therapy device has not been approved. Existing code E0221 ""Infrared heating pad system"" adequately describes the device that is the subject of this request, and it is available for assignment by insurers if they deem appropriate. In fact, the code E0221 was established for the predicate product to the Willow Curve device."
17.009	Drug & Biol	"Request to establish a new HCPCS code to identify Hydroxyprogesterone Caproate Injection.

Applicant's suggested language ""JXXXX - Hydroxyprogesterone Caproate Injection, USP 250mg/mL""."	"1) Establish Q9985, ""Injection, Hydroxyprogesterone Caproate, Not Otherwise Specified, 10 mg"". Effective 7/1/17.

2) Establish Q9986, ""Injection, Hydroxyprogesterone Caproate, (Makena), 10 mg"". Effective 7/1/17.

3) Discontinue Q9985. Effective 12/31/17.

4) Discontinue Q9986. Effective 12/31/17.

5) Establish JXXXX, ""Injection, Hydroxyprogesterone Caproate, Not Otherwise Specified, 10 mg"". Effective 1/1/18

6) Establish JXXXX, ""Injection, Hydroxyprogesterone Caproate, (Makena), 10 mg"". 

7) Change Medicare coverage indicator for existing code J1725 to ""i"". Effective 7/1/17.

New code Q9985, ""Injection, Hydroxyprogesterone Caproate, Not Otherwise Specified, 10 mg"" adequately describes the product that is the subject of this request."	"1) Establish Q9985, ""Injection, Hydroxyprogesterone Caproate, Not Otherwise Specified, 10 mg"".  Effective 7/1/17.

2) Establish Q9986, ""Injection, Hydroxyprogesterone Caproate, (Makena), 10 mg"".  Effective 7/1/17.

3) Discontinue Q9985.  Effective 12/31/17.

4) Discontinue Q9986.  Effective 12/31/17.

5) Establish J1729, ""Injection, Hydroxyprogesterone Caproate, Not Otherwise Specified, 10 mg"".  

6) Establish J1726, ""Injection, Hydroxyprogesterone Caproate, (Makena), 10 mg"".  

7) Change Medicare coverage indicator for existing code J1725 to ""i"".  Effective 7/1/17.

8) Discontinue J1725 effective 12/31/17."
