Column1/Column 2 Edits					
Column 1	Column 2	* = In existence prior to 1996	Effective Date	"Deletion Date
*=no data"	"Modifier
0=not allowed
1=allowed
9=not applicable"
00100	C8921		20080701	*	1
00100	C8922		20080701	*	1
00100	C8923		20080701	*	1
00100	C8924		20080701	*	1
00100	C8925		20080701	*	1
00100	C8926		20080701	*	1
00100	C8927		20080701	*	0
00100	C8929		20100101	*	1
00100	C8930		20100101	*	1
00100	G0001		19960101	19960401	1
00100	G0272		20030101	20040331	1
00100	G0345		20050101	20051231	1
00100	G0347		20050101	20051231	1
00100	G0351		20050101	20051231	0
00100	G0353		20050101	20051231	0
00100	G0354		20050401	20051231	0
00100	G0380		20081001	*	1
00100	G0381		20081001	*	1
00100	G0382		20081001	*	1
00100	G0383		20081001	*	1
00100	G0384		20081001	*	1
00100	G0406		20100701	*	0
00100	G0407		20100701	*	0
00100	G0408		20100701	*	0
00100	G0425		20100701	*	0
00100	G0426		20100701	*	0
00100	G0427		20100701	*	0
00100	M0005		19960101	19960101	9
00100	M0006		19960101	19960101	9
00100	M0007		19960101	19960101	9
00100	M0008		19960101	19960101	9
00100	M0302		20000605	20020331	1
00100	0178T		20090401	*	1
00100	0179T		20090401	*	1
00100	0180T		20090401	*	1
00100	01996		20090701	*	1
00100	0213T		20100701	*	1
00100	0216T		20100701	*	1
00100	0228T		20101001	*	1
00100	0230T		20101001	*	1
00100	0251T		20110101	*	1
00100	0253T		20110101	20110101	9
00100	0282T		20120101	*	1
00100	0283T		20120101	*	1
00100	31505		19960101	*	1
00100	31515		19960101	*	1
00100	31527		19960101	*	1
00100	31622		19960101	*	1
00100	31634		20110101	*	1
00100	31645		19960101	*	1
00100	36000		19960101	*	1
00100	36005		19960101	20071001	1
00100	36010		19960101	*	0
00100	36011		19960101	*	1
00100	36012		19960101	*	1
00100	36013		19960101	*	1
00100	36014		19960101	*	1
00100	36015		19960101	*	1
00100	36400		19960101	*	1
00100	36405		19960101	*	1
00100	36406		19960101	*	1
00100	36410		19960101	*	1
00100	36420		19960101	*	1
00100	36425		19960101	*	1
00100	36430		19960101	*	1
00100	36440		19960101	*	1
00100	36600		19960101	*	1
00100	36640		19960101	*	1
00100	43752		20040101	*	1
00100	43753		20110101	*	1
00100	43754		20110101	*	1
00100	61026		20011001	*	1
00100	61055		20011001	*	1
00100	62274		19960101	20000604	1
00100	62275		19960101	20000604	1
00100	62276		19960101	20000604	1
00100	62277		19960101	20000604	1
00100	62278		19960101	20000604	1
00100	62279		19960101	20000604	1
00100	62280		19960101	*	1
00100	62281		19960101	*	1
00100	62282		19960101	*	1
00100	62284		19960101	*	1
00100	62310		20000905	*	1
00100	62311		20000905	*	1
00100	62318		20000905	*	1
00100	62319		20000905	*	1
00100	64400		19960101	*	1
00100	64402		19960101	*	1
00100	64405		19960101	*	1
00100	64408		19960101	*	1
00100	64410		19960101	*	1
00100	64412		19960101	*	1
00100	64413		19960101	*	1
00100	64415		19960101	*	1
00100	64416		20030101	*	1
00100	64417		19960101	*	1
00100	64418		19960101	*	1
00100	64420		19960101	*	1
00100	64421		19960101	*	1
00100	64425		19960101	*	1
00100	64430		19960101	*	1
00100	64435		19960101	*	1
00100	64440		19960101	20000604	1
00100	64441		19960101	20000604	1
00100	64442		19960101	20000604	1
00100	64443		19960101	19960101	9
00100	64445		19960101	*	1
00100	64446		20030101	*	1
00100	64447		20030101	*	1
00100	64448		20030101	*	1
00100	64449		20040101	*	1
00100	64450		19960101	*	1
00100	64470		20000905	20091231	1
00100	64475		20000605	20091231	1
00100	64479		20000605	*	1
00100	64483		20000605	*	1
00100	64490		20100101	*	1
00100	64493		20100101	*	1
00100	64505		19960101	*	1
00100	64508		19960101	*	1
00100	64510		19960101	*	1
00100	64517		20040101	*	1
00100	64520		19960101	*	1
00100	64530		19960101	*	1
00100	64550		19960101	*	1
00100	64553		19960101	*	1
00100	64555		19960101	*	1
00100	64560		19960101	20111231	1
00100	64565		19960101	*	1
00100	67500		19960101	*	1
00100	76000		20100101	*	1
00100	76001		20100101	*	1
00100	76986		20030101	20061231	0
00100	76998		20070101	*	0
00100	77002		20100101	*	0
00100	80002		19960101	19980331	1
00100	80003		19960101	19980331	1
00100	80004		19960101	19980331	1
00100	80005		19960101	19980331	1
00100	80006		19960101	19980331	1
00100	80007		19960101	19980331	1
00100	80008		19960101	19980331	1
00100	80009		19960101	19980331	1
00100	80010		19960101	19980331	1
00100	80011		19960101	19980331	1
00100	80012		19960101	19980331	1
00100	80016		19960101	19980331	1
00100	80018		19960101	19980331	1
00100	80019		19960101	19980331	1
00100	80050		19960101	19980101	1
00100	80055		19960101	19970101	1
00100	80058		19960101	19960101	9
00100	80059		19960101	19960101	9
00100	80061		19960101	19960101	9
00100	80072		19960101	19960101	9
00100	80090		19960101	19960101	9
00100	80091		19960101	19960101	9
00100	80092		19960101	19960101	9
00100	80150		19960101	19960101	9
00100	80152		19960101	19960101	9
00100	80154		19960101	19960101	9
00100	80156		19960101	19960101	9
00100	80158		19960101	19960101	9
00100	80160		19960101	19960101	9
00100	80162		19960101	19960101	9
00100	80164		19960101	19960101	9
00100	80166		19960101	19960101	9
00100	80168		19960101	19960101	9
00100	80170		19960101	19960101	9
00100	80172		19960101	19960101	9
00100	80174		19960101	19960101	9
00100	80176		19960101	19960101	9
00100	80178		19960101	19960101	9
00100	80182		19960101	19960101	9
00100	80184		19960101	19960101	9
00100	80185		19960101	19960101	9
00100	80186		19960101	19960101	9
00100	80188		19960101	19960101	9
00100	80190		19960101	19960101	9
00100	80192		19960101	19960101	9
00100	80194		19960101	19960101	9
00100	80196		19960101	19960101	9
00100	80198		19960101	19960101	9
00100	80200		19960101	19960101	9
