Mutually Exclusive Edits 					
Column 1	Column 2	* = In existence prior to 1996	Effective Date	"Deletion Date
*=no data"	"Modifier
0=not allowed
1=allowed
9=not applicable"
00560	00561		20050101	20110630	1
00560	00562		20011001	20110630	1
00560	00563		20011001	20110630	1
00560	00566		20011001	20110630	1
00561	00567		20100401	20110630	1
00562	00561		20050101	20110630	1
00562	00563		20011001	20110630	1
00562	00566		20011001	20110630	1
00562	00567		20100401	20110630	1
00563	00561		20050101	20110630	1
00563	00566		20011001	20110630	1
00563	00567		20100401	20110630	1
00566	00561		20050101	20110630	1
00566	00567		20100401	20110630	1
00567	00560		20100401	20110630	1
00830	00834		20040701	20110630	1
00830	00836		20040701	20110630	1
00832	00834		20040701	20110630	1
00832	00836		20040701	20110630	1
00834	00836		20040701	20110630	1
00920	00942		20011001	20110630	0
00955	00857		20000605	20020331	1
01214	01215		20011001	20110630	0
01966	01965		20070401	20110630	1
01991	01992		20040701	20110630	1
					
