"Code","CCS","CCS.Label"
"61000","1","Incision and excision of CNS"
"61001","1","Incision and excision of CNS"
"61002","1","Incision and excision of CNS"
"61003","1","Incision and excision of CNS"
"61004","1","Incision and excision of CNS"
"61005","1","Incision and excision of CNS"
"61006","1","Incision and excision of CNS"
"61007","1","Incision and excision of CNS"
"61008","1","Incision and excision of CNS"
"61009","1","Incision and excision of CNS"
"61010","1","Incision and excision of CNS"
"61011","1","Incision and excision of CNS"
"61012","1","Incision and excision of CNS"
"61013","1","Incision and excision of CNS"
"61014","1","Incision and excision of CNS"
"61015","1","Incision and excision of CNS"
"61016","1","Incision and excision of CNS"
"61017","1","Incision and excision of CNS"
"61018","1","Incision and excision of CNS"
"61019","1","Incision and excision of CNS"
"61020","1","Incision and excision of CNS"
"61021","1","Incision and excision of CNS"
"61022","1","Incision and excision of CNS"
"61023","1","Incision and excision of CNS"
"61024","1","Incision and excision of CNS"
"61025","1","Incision and excision of CNS"
"61026","1","Incision and excision of CNS"
"61027","1","Incision and excision of CNS"
"61028","1","Incision and excision of CNS"
"61029","1","Incision and excision of CNS"
"61030","1","Incision and excision of CNS"
"61031","1","Incision and excision of CNS"
"61032","1","Incision and excision of CNS"
"61033","1","Incision and excision of CNS"
"61034","1","Incision and excision of CNS"
"61035","1","Incision and excision of CNS"
"61036","1","Incision and excision of CNS"
"61037","1","Incision and excision of CNS"
"61038","1","Incision and excision of CNS"
"61039","1","Incision and excision of CNS"
"61040","1","Incision and excision of CNS"
"61041","1","Incision and excision of CNS"
"61042","1","Incision and excision of CNS"
"61043","1","Incision and excision of CNS"
"61044","1","Incision and excision of CNS"
"61045","1","Incision and excision of CNS"
"61046","1","Incision and excision of CNS"
"61047","1","Incision and excision of CNS"
"61048","1","Incision and excision of CNS"
"61049","1","Incision and excision of CNS"
"61050","1","Incision and excision of CNS"
"61051","1","Incision and excision of CNS"
"61052","1","Incision and excision of CNS"
"61053","1","Incision and excision of CNS"
"61054","1","Incision and excision of CNS"
"61055","1","Incision and excision of CNS"
"61105","1","Incision and excision of CNS"
"61106","1","Incision and excision of CNS"
"61108","1","Incision and excision of CNS"
"61109","1","Incision and excision of CNS"
"61110","1","Incision and excision of CNS"
"61111","1","Incision and excision of CNS"
"61112","1","Incision and excision of CNS"
"61113","1","Incision and excision of CNS"
"61114","1","Incision and excision of CNS"
"61115","1","Incision and excision of CNS"
"61116","1","Incision and excision of CNS"
"61117","1","Incision and excision of CNS"
"61118","1","Incision and excision of CNS"
"61119","1","Incision and excision of CNS"
"61120","1","Incision and excision of CNS"
"61121","1","Incision and excision of CNS"
"61122","1","Incision and excision of CNS"
"61123","1","Incision and excision of CNS"
"61124","1","Incision and excision of CNS"
"61125","1","Incision and excision of CNS"
"61126","1","Incision and excision of CNS"
"61127","1","Incision and excision of CNS"
"61128","1","Incision and excision of CNS"
"61129","1","Incision and excision of CNS"
"61130","1","Incision and excision of CNS"
"61150","1","Incision and excision of CNS"
"61151","1","Incision and excision of CNS"
"61152","1","Incision and excision of CNS"
"61153","1","Incision and excision of CNS"
"61154","1","Incision and excision of CNS"
"61155","1","Incision and excision of CNS"
"61156","1","Incision and excision of CNS"
"61250","1","Incision and excision of CNS"
"61251","1","Incision and excision of CNS"
"61252","1","Incision and excision of CNS"
"61253","1","Incision and excision of CNS"
"61254","1","Incision and excision of CNS"
"61255","1","Incision and excision of CNS"
"61256","1","Incision and excision of CNS"
"61257","1","Incision and excision of CNS"
"61258","1","Incision and excision of CNS"
"61259","1","Incision and excision of CNS"
"61260","1","Incision and excision of CNS"
"61261","1","Incision and excision of CNS"
"61262","1","Incision and excision of CNS"
"61263","1","Incision and excision of CNS"
"61264","1","Incision and excision of CNS"
"61265","1","Incision and excision of CNS"
"61266","1","Incision and excision of CNS"
"61267","1","Incision and excision of CNS"
"61268","1","Incision and excision of CNS"
"61269","1","Incision and excision of CNS"
"61270","1","Incision and excision of CNS"
"61271","1","Incision and excision of CNS"
"61272","1","Incision and excision of CNS"
"61273","1","Incision and excision of CNS"
"61274","1","Incision and excision of CNS"
"61275","1","Incision and excision of CNS"
"61276","1","Incision and excision of CNS"
"61277","1","Incision and excision of CNS"
"61278","1","Incision and excision of CNS"
"61279","1","Incision and excision of CNS"
"61280","1","Incision and excision of CNS"
"61281","1","Incision and excision of CNS"
"61282","1","Incision and excision of CNS"
"61283","1","Incision and excision of CNS"
"61284","1","Incision and excision of CNS"
"61285","1","Incision and excision of CNS"
"61286","1","Incision and excision of CNS"
"61287","1","Incision and excision of CNS"
"61288","1","Incision and excision of CNS"
"61289","1","Incision and excision of CNS"
"61290","1","Incision and excision of CNS"
"61291","1","Incision and excision of CNS"
"61292","1","Incision and excision of CNS"
"61293","1","Incision and excision of CNS"
"61294","1","Incision and excision of CNS"
"61295","1","Incision and excision of CNS"
"61296","1","Incision and excision of CNS"
"61297","1","Incision and excision of CNS"
"61298","1","Incision and excision of CNS"
"61299","1","Incision and excision of CNS"
"61300","1","Incision and excision of CNS"
"61301","1","Incision and excision of CNS"
"61302","1","Incision and excision of CNS"
"61303","1","Incision and excision of CNS"
"61304","1","Incision and excision of CNS"
"61305","1","Incision and excision of CNS"
"61306","1","Incision and excision of CNS"
"61307","1","Incision and excision of CNS"
"61308","1","Incision and excision of CNS"
"61309","1","Incision and excision of CNS"
"61310","1","Incision and excision of CNS"
"61311","1","Incision and excision of CNS"
"61312","1","Incision and excision of CNS"
"61313","1","Incision and excision of CNS"
"61314","1","Incision and excision of CNS"
"61315","1","Incision and excision of CNS"
"61320","1","Incision and excision of CNS"
"61321","1","Incision and excision of CNS"
"61322","1","Incision and excision of CNS"
"61323","1","Incision and excision of CNS"
"61340","1","Incision and excision of CNS"
"61345","1","Incision and excision of CNS"
"61346","1","Incision and excision of CNS"
"61347","1","Incision and excision of CNS"
"61348","1","Incision and excision of CNS"
"61349","1","Incision and excision of CNS"
"61350","1","Incision and excision of CNS"
"61351","1","Incision and excision of CNS"
"61352","1","Incision and excision of CNS"
"61353","1","Incision and excision of CNS"
"61354","1","Incision and excision of CNS"
"61355","1","Incision and excision of CNS"
"61356","1","Incision and excision of CNS"
"61357","1","Incision and excision of CNS"
"61358","1","Incision and excision of CNS"
"61359","1","Incision and excision of CNS"
"61360","1","Incision and excision of CNS"
"61361","1","Incision and excision of CNS"
"61362","1","Incision and excision of CNS"
"61363","1","Incision and excision of CNS"
"61364","1","Incision and excision of CNS"
"61365","1","Incision and excision of CNS"
"61366","1","Incision and excision of CNS"
"61367","1","Incision and excision of CNS"
"61368","1","Incision and excision of CNS"
"61369","1","Incision and excision of CNS"
"61370","1","Incision and excision of CNS"
"61371","1","Incision and excision of CNS"
"61372","1","Incision and excision of CNS"
"61373","1","Incision and excision of CNS"
"61374","1","Incision and excision of CNS"
"61375","1","Incision and excision of CNS"
"61376","1","Incision and excision of CNS"
"61377","1","Incision and excision of CNS"
"61378","1","Incision and excision of CNS"
"61379","1","Incision and excision of CNS"
"61380","1","Incision and excision of CNS"
"61381","1","Incision and excision of CNS"
"61382","1","Incision and excision of CNS"
"61383","1","Incision and excision of CNS"
"61384","1","Incision and excision of CNS"
"61385","1","Incision and excision of CNS"
"61386","1","Incision and excision of CNS"
"61387","1","Incision and excision of CNS"
"61388","1","Incision and excision of CNS"
"61389","1","Incision and excision of CNS"
"61390","1","Incision and excision of CNS"
"61391","1","Incision and excision of CNS"
"61392","1","Incision and excision of CNS"
"61393","1","Incision and excision of CNS"
"61394","1","Incision and excision of CNS"
"61395","1","Incision and excision of CNS"
"61396","1","Incision and excision of CNS"
"61397","1","Incision and excision of CNS"
"61398","1","Incision and excision of CNS"
"61399","1","Incision and excision of CNS"
"61400","1","Incision and excision of CNS"
"61401","1","Incision and excision of CNS"
"61402","1","Incision and excision of CNS"
"61403","1","Incision and excision of CNS"
"61404","1","Incision and excision of CNS"
"61405","1","Incision and excision of CNS"
"61406","1","Incision and excision of CNS"
"61407","1","Incision and excision of CNS"
"61408","1","Incision and excision of CNS"
"61409","1","Incision and excision of CNS"
"61410","1","Incision and excision of CNS"
"61411","1","Incision and excision of CNS"
"61412","1","Incision and excision of CNS"
"61413","1","Incision and excision of CNS"
"61414","1","Incision and excision of CNS"
"61415","1","Incision and excision of CNS"
"61416","1","Incision and excision of CNS"
"61417","1","Incision and excision of CNS"
"61418","1","Incision and excision of CNS"
"61419","1","Incision and excision of CNS"
